physician.cardiothoracicSurgery.thoracicSurgicalOncology,thoracicSurgicalOncology,Thoracic Surgical Oncology,15dca2c0-c215-4cf5-adc6-e4962c35bc0d,9,FALSE
physician.cardiothoracicSurgery.traumaSurgerySurgicalCriticalCare,traumaSurgerySurgicalCriticalCare,Trauma Surgery & Surgical Critical Care,cab6bc8b-0aed-4683-b492-4380542d2c66,10,FALSE
physician.cardiothoracicSurgery.vascularSurgery,vascularSurgery,Vascular Surgery,fc2ea83c-0697-4daa-adfd-1010fbf32000,8,FALSE
physician.childNeurology,childNeurology,Child Neurology,2d7cf57c-7d6d-447f-b060-acd1f257edf3,5,FALSE
physician.childNeurology.clinicalPharmacologyChildNeurology,clinicalPharmacologyChildNeurology,Clinical Pharmacology - Child Neurology,59aece15-a49b-44f1-a7fc-6802d986d271,1,FALSE
physician.childNeurology.generalChildNeurology,generalChildNeurology,General Child Neurology,db3210ec-2328-4ca3-a3fb-6e8be69cbad2,0,FALSE
physician.childNeurology.pediatricEpilepsy,pediatricEpilepsy,Pediatric Epilepsy,034617b4-3d39-457b-99e7-681e96a89f16,2,FALSE
physician.childNeurology.pediatricHospicePalliativeMedicine,pediatricHospicePalliativeMedicine,Pediatric Hospice & Palliative Medicine,3f8b41f0-6131-4224-88d3-29c93c721a73,3,FALSE
physician.childNeurology.pediatricNeurodevelopmentalDisabilities,pediatricNeurodevelopmentalDisabilities,Pediatric Neurodevelopmental Disabilities,d2686906-7491-4876-9090-7acb9bce731b,4,FALSE
physician.childNeurology.pediatricNeuromuscularMedicine,pediatricNeuromuscularMedicine,Pediatric Neuromuscular Medicine,7ff4fd87-8711-41ee-9cd6-0f380d7a42f4,5,FALSE
physician.childNeurology.pediatricNeurophysiology,pediatricNeurophysiology,Pediatric Neurophysiology,a29567ee-7e0c-4df4-9c38-948291c5d5b7,6,FALSE
physician.childNeurology.pediatricNeurorehabilitation,pediatricNeurorehabilitation,Pediatric Neurorehabilitation,a0953e9e-7951-43f6-b932-f98e146aab48,7,FALSE
physician.childNeurology.pediatricPainMedicine,pediatricPainMedicine,Pediatric Pain Medicine,8f524370-f6ee-402c-920e-8bfee5a817af,8,FALSE
physician.childNeurology.pediatricSleepMedicine,pediatricSleepMedicine,Pediatric Sleep Medicine,43f64bc7-0b81-4ca3-b147-a2469802afd5,10,FALSE
physician.childNeurology.pediatricVascularNeurology,pediatricVascularNeurology,Pediatric Vascular Neurology,02f5f4d2-40d0-45ec-89be-3b9d91d4bb25,9,FALSE
physician.colonRectalSurgery,colonRectalSurgery,Colon & Rectal Surgery,cf1a09a0-a1fc-449e-9442-7c5391f46015,6,FALSE
physician.colonRectalSurgery.clinicalPharmacologyColonAndRectalSurgery,clinicalPharmacologyColonAndRectalSurgery,Clinical Pharmacology - Colon and Rectal Surgery,10fb39d5-d378-467a-965b-847e48ee0c86,1,FALSE
physician.colonRectalSurgery.generalColonRectalSurgery,generalColonRectalSurgery,General Colon & Rectal Surgery,6904a5ac-ddac-416f-80f6-0cfd15960a08,0,FALSE
physician.dermatology,dermatology,Dermatology,9b4000c0-dfcc-420e-9cdf-a4e37ffbf196,7,FALSE
physician.dermatology.acneRosacea,acneRosacea,Acne & Rosacea,8efadaf3-8742-4589-aca9-744055de2f50,1,FALSE
physician.dermatology.clinicalPharmacy,clinicalPharmacy,Clinical Pharmacology - Dermatology,55b1ba69-9f9f-456d-8328-5fd17c50e287,2,FALSE
physician.dermatology.cosmeticDermatology,cosmeticDermatology,Cosmetic Dermatology,35023970-b70b-458b-aa09-0989337e8796,3,FALSE
physician.dermatology.dermatologicSurgery,dermatologicSurgery,Dermatologic Surgery,572ff283-a878-469e-a7f2-46e226324a43,4,FALSE
physician.dermatology.dermatopathology,dermatopathology,Dermatopathology,d4ec7301-81e0-4c97-b0fb-4ed245d85f61,5,FALSE
physician.dermatology.generalDermatology,generalDermatology,General Dermatology,e1438b6c-7ad4-487d-a44e-2c93f7dd8e33,0,FALSE
physician.dermatology.pediatricDermatology,pediatricDermatology,Pediatric Dermatology,01ca91fe-747e-4f00-991e-cc52536af2a5,6,FALSE
physician.emergencyMedicine,emergencyMedicine,Emergency Medicine,b17d5e93-13eb-49d1-abb6-bbad0ecdca8f,8,FALSE
physician.emergencyMedicine.clinicalPharmacologyEmergencyMedicine,clinicalPharmacologyEmergencyMedicine,Clinical Pharmacology - Emergency Medicine,d4c434d4-9d9f-47cd-a119-821dc71bc67e,1,FALSE
physician.emergencyMedicine.criticalCareMedicine,criticalCareMedicine,Critical Care Medicine,3180268f-0e88-4683-8b11-3f38daeaf4b1,2,FALSE
physician.emergencyMedicine.generalEmergencyMedicine,generalEmergencyMedicine,General Emergency Medicine,9264e7f1-7413-44d7-9c15-0985a78cd991,0,FALSE
physician.emergencyMedicine.hospiceAndPalliativeMedicine,hospiceAndPalliativeMedicine,Hospice & Palliative Medicine,9a198716-013e-41f4-8c66-c280ea008215,3,FALSE
physician.emergencyMedicine.medicalToxicology,medicalToxicology,Medical Toxicology,704a1de3-a535-4f06-91a8-2ff647ea4d90,4,FALSE
physician.emergencyMedicine.pediatricEmergencyMedicine,pediatricEmergencyMedicine,Pediatric Emergency Medicine,8dd9d2e4-0591-4e80-a450-a7a5fc586187,5,FALSE
physician.emergencyMedicine.sportsMedicineNonsurgical,sportsMedicineNonsurgical,Sports Medicine (Non surgical),8f25e3e4-bb3e-4fc6-ab48-5b67fd2ac1fd,6,FALSE
physician.emergencyMedicine.underseaHyperbaricMedicine,underseaHyperbaricMedicine,Undersea & Hyperbaric Medicine,1b6dbe97-0adb-4931-a2c5-11ffbd10611c,7,FALSE
physician.endocrinology,endocrinology,Endocrinology,ecb14f8f-f817-4818-88b5-fa2bc21b20ae,9,FALSE
